status,notification
success,"Great job! Your solution matches the expected approach. You successfully completed the task."
success,"Excellent work! Your solution is correct and demonstrates a good understanding of the task."
success,"Well done! You successfully solved the task and reached the expected result."
success,"Good work! Your solution follows the correct logic and satisfies the requirements."
success,"Excellent! The main idea of your solution is correct and the task has been successfully completed."
warning,"Your solution is partially correct. You have implemented the main idea, but some parts still need improvement."
warning,"Good progress! Most of the solution is correct, but there are still some details that need to be fixed."
warning,"You are on the right track. Your solution contains the correct approach, but check the parts that differ from the expected solution."
warning,"The main part of the task is completed correctly. Review the remaining differences and try to identify what needs to be changed."
warning,"Nice attempt! Your solution is close to the expected result, but there are still some issues that need your attention."
danger,"Your solution does not yet match the expected solution. Review your approach and try to identify where the logic differs."
danger,"The current solution needs significant improvement. Compare your approach with the task requirements and look for the main source of the problem."
danger,"Your solution is not correct yet. Reconsider the main logic of your implementation and try the task again."
danger,"There are significant differences between your solution and the expected approach. Review the task requirements and check your implementation step by step."
danger,"This attempt does not solve the task correctly yet. Focus on understanding the required logic before making further changes."
